,name,price,details,url
0,Baliqua 85 mule sandals,645 €,mustard yellow leather velvet branded insole open toe high heel ,https://www.farfecth.com/pt/shopping/women/saint-laurent-baliqua-85-mule-sandals-item-18429565.aspx?storeid=9462
1,VLogo heel knee-high boots,"1,517 €",black leather VLogo Signature low block heel knee-high almond toe ,https://www.farfecth.com/pt/shopping/women/valentino-garavani-vlogo-heel-knee-high-boots-item-18362783.aspx?storeid=9885
2,logo-strap ballerina shoes,690 €,white satin finish bow detailing logo patch to the front elasticated strap round toe flat leather sole ,https://www.farfecth.com/pt/shopping/women/miu-miu-logo-strap-ballerina-shoes-item-18845909.aspx?storeid=10050
3,pointed-toe leather boots,905 €,ecru/black calf leather elasticated panelling pointed toe pull-tab at the heel slip-on style mid sculpted heel ,https://www.farfecth.com/pt/shopping/women/jil-sander-pointed-toe-leather-boots-item-18700165.aspx?storeid=13537
4,logo plaque snake print loafers,830 €,leather almond toe branded insole slip-on style snake print gold-tone logo plaque low stacked heel ,https://www.farfecth.com/pt/shopping/women/gucci-logo-plaque-snake-print-loafers-item-18931278.aspx?storeid=10524
5,embroidered 40mm knee-high boots,675 €,"tigers eye brown calf leather embroidered design pointed toe slip-on style double pull-tab at the opening knee-length low 40mm tapered heel Conscious: Carbon-neutral certified – the carbon emissions produced have been calculated, reduced and the residual amount offset. ",https://www.farfecth.com/pt/shopping/women/ganni-embroidered-40mm-knee-high-boots-item-19044119.aspx?storeid=13537
6,Double Bow pointed-toe ankle boots,"1,093 €",black calf leather bow detailing pointed toe branded insole side zip fastening stiletto heel ankle-length ,https://www.farfecth.com/pt/shopping/women/mach-mach-double-bow-pointed-toe-ankle-boots-item-19043614.aspx?storeid=9728
7,Les mules Piscine sandals,659 €,brown calf leather padded design moulded footbed square toe open toe stiletto heel slip-on style ,https://www.farfecth.com/pt/shopping/women/jacquemus-les-mules-piscine-sandals-item-19149620.aspx?storeid=11004
8,contrast-stitching leather loafers,722 €,black calf leather contrast stitching branded insole almond toe slip-on style rubber sole low heel ,https://www.farfecth.com/pt/shopping/women/chloe-contrast-stitching-leather-loafers-item-19083877.aspx?storeid=10167
9,Gilda 110mm zebra-print sandals ,740 €,white coffee brown branded insole zebra print crystal embellishment open toe slip-on style double-strap design high sculpted heel ,https://www.farfecth.com/pt/shopping/women/amina-muaddi-gilda-110mm-zebra-print-sandals-item-17915871.aspx?storeid=13537
10,100mm leather calf-length boots ,850 €,cloud white calf leather branded insole branded leather insole 100mm high tapered heel calf-length pull-on style ,https://www.farfecth.com/pt/shopping/women/isabel-marant-100mm-leather-calf-length-boots-item-19068686.aspx?storeid=9774
11,Lexy 130mm platform boots,675 €,brown calf leather patent finish round toe ankle-length rear zip fastening high block heel platform sole ,https://www.farfecth.com/pt/shopping/women/paris-texas-lexy-130mm-platform-boots-item-19141614.aspx?storeid=13537
12,faux shearling mules,590 €,ecru/black/brown faux shearling leather trim round toe decorative buckle detail flat rubber sole ,https://www.farfecth.com/pt/shopping/women/isabel-marant-faux-shearling-mules-item-19013161.aspx?storeid=9597
