,name,price,details,url
0,logo print short-sleeve shirt,"1,025 €",black/red silk FF-logo print classic collar concealed front button fastening short sleeves straight hem ,https://www.farfecth.com/pt/shopping/men/fendi-logo-print-short-sleeve-shirt-item-19116600.aspx?storeid=9568
1,La Greca cotton-lyocell shirt,750 €,dark red cotton blend all-over graphic print front button placket short sleeves ,https://www.farfecth.com/pt/shopping/men/versace-la-greca-cotton-lyocell-shirt-item-18981403.aspx?storeid=10224
2,graphic-print short-sleeve shirt,486 €,black/red silk all-over graphic print camp collar front button fastening short sleeves Conscious: We've partnered with Good On You – an ethical agency that rates how sustainably brands perform. This item comes from a  brand that performs well in relation to their impact on the planet. ,https://www.farfecth.com/pt/shopping/men/endless-joy-graphic-print-short-sleeve-shirt-item-19075278.aspx?storeid=9921
3,Corallo graphic-print pullover shirt,795 €,blue/dark pink satin finish front button fastening spread collar half-length sleeves side slits pullover design ,https://www.farfecth.com/pt/shopping/men/dolce-gabbana-corallo-graphic-print-pullover-shirt-item-18892523.aspx?storeid=13098
4,mushroom print shirt,285 €,blue cotton classic collar front button fastening short sleeves straight hem mushroom print ,https://www.farfecth.com/pt/shopping/men/opening-ceremony-mushroom-print-shirt-item-18749507.aspx?storeid=13537
5,zip-up checked shirt,"1,082 €",white/cobalt blue virgin wool check pattern classic collar front zip fastening short sleeves chest patch pocket straight hem ,https://www.farfecth.com/pt/shopping/men/vetements-zip-up-checked-shirt-item-18357763.aspx?storeid=13537
6,classic button-up shirt,335 €,light blue cotton logo print at the neckline front button fastening classic collar long sleeves curved hem ,https://www.farfecth.com/pt/shopping/men/dsquared2-classic-button-up-shirt-item-19093571.aspx?storeid=13717
7,striped button-up shirt,363 €,light blue cotton vertical stripe print pointed flat collar front button fastening long sleeves buttoned cuffs chest patch pocket curved hem ,https://www.farfecth.com/pt/shopping/men/comme-des-garcons-shirt-striped-button-up-shirt-item-18694068.aspx?storeid=13537
8,stripe-print flap-pockets shirt ,395 €,"white/blue  stripe print straight-point collar front button fastening long sleeves buttoned cuffs curved hem POSITIVELY CONSCIOUS: We've partnered with Good On You — an ethical agency that rates how sustainably brands perform across various people, planet and animal welfare criteria. This product comes from a Conscious brand that performs well in relation to their impact on the planet, for example ensures the use of materials that limit the amount of chemicals, water and wastewater involved in production processes. ",https://www.farfecth.com/pt/shopping/men/nanushka-stripe-print-flap-pockets-shirt-item-18040761.aspx?storeid=13349
9,embroidered-logo long-sleeve shirt,420 €,multicolour cotton embroidered logo at the chest all-over floral print classic collar long sleeves front button fastening chest patch pocket ,https://www.farfecth.com/pt/shopping/men/jacquemus-embroidered-logo-long-sleeve-shirt-item-19104756.aspx?storeid=13537
10,illustration-print button-up shirt,345 €,yellow/teal green illustration-style print spread collar front button fastening long sleeves buttoned cuffs curved hem ,https://www.farfecth.com/pt/shopping/men/just-cavalli-illustration-print-button-up-shirt-item-18580048.aspx?storeid=10064
11,graphic-print silk shirt,830 €,light pink silk all-over graphic print oversized pointed collar long sleeves ,https://www.farfecth.com/pt/shopping/men/casablanca-graphic-print-silk-shirt-item-18996534.aspx?storeid=13537
