,name,price,details,url
0,intarsia-graffiti logo single-breasted coat,"1,674 €",black/white wool blend intarsia-knit logo graffiti print notched lapels front button fastening long sleeves straight hem ,https://www.farfecth.com/pt/shopping/men/off-white-intarsia-graffiti-logo-single-breasted-coat-item-18536162.aspx?storeid=9808
1,Carson padded parka coat,"1,553 €",jet black duck feather logo patch at the shoulder padded design band collar press-stud fastening long sleeves two side welt pockets ,https://www.farfecth.com/pt/shopping/men/canada-goose-carson-padded-parka-coat-item-19133620.aspx?storeid=11004
2,OC patch bonded wool coat,695 €,blue/white wool blend check pattern straight-point collar front button fastening long sleeves side patch pockets mid-length logo patch at the chest ,https://www.farfecth.com/pt/shopping/men/opening-ceremony-oc-patch-bonded-wool-coat-item-18673142.aspx?storeid=12838
3,drop-shoulder double-breasted coat,"2,800 €",black virgin wool blend notched lapels two front flap pockets double-breasted button fastening long sleeves ,https://www.farfecth.com/pt/shopping/men/valentino-drop-shoulder-double-breasted-coat-item-18657678.aspx?storeid=9693
4,high-shine zip-up coat,"1,345 €",black cotton high-shine finish front zip fastening classic hood mid-length long sleeves ,https://www.farfecth.com/pt/shopping/men/rick-owens-high-shine-zip-up-coat-item-19056912.aspx?storeid=10016
5,FF jacquard double-breasted trench coat,"4,394 €",tobacco brown black leather trim FF motif classic lapels double-breasted button fastening belted waist long sleeves belted cuffs mid-length ,https://www.farfecth.com/pt/shopping/men/fendi-ff-jacquard-double-breasted-trench-coat-item-19036348.aspx?storeid=9885
6,buckled hooded duffle coat,"3,390 €",burgundy wool classic hood multi-buckle fastening long sleeves mid-length ,https://www.farfecth.com/pt/shopping/men/burberry-buckled-hooded-duffle-coat-item-18930818.aspx?storeid=11115
7,tailored double-breasted wool coat,"3,754 €",coffee brown virgin wool blend tailored cut double-breasted button fastening notched lapels long sleeves central rear vent straight hem ,https://www.farfecth.com/pt/shopping/men/the-row-tailored-double-breasted-wool-coat-item-19141137.aspx?storeid=9388
8,double-breasted wool coat,"1,548 €",light brown wool wide peak lapels double-breasted button fastening front flap pockets long sleeves rear slit straight hem mid-length ,https://www.farfecth.com/pt/shopping/men/boglioli-double-breasted-wool-coat-item-19053092.aspx?storeid=9681
9,tie-waist wool-blend coat,665 €,camel brown wool blend logo patch to the front notched lapels double-breasted button fastening tied waist front flap pockets long sleeves buttoned cuffs straight hem mid-length ,https://www.farfecth.com/pt/shopping/men/diesel-tie-waist-wool-blend-coat-item-19102719.aspx?storeid=9462
