,name,price,details,url
0,Vulcanized high-top sneakers,490 €,"white leather signature Arrows motif front lace-up fastening round toe signature Safety tag logo print to the side perforated design flat rubber sole Due to the dyeing process used, this product must not come into contact with water. ",https://www.farfecth.com/pt/shopping/men/off-white-vulcanized-high-top-sneakers-item-18535155.aspx?storeid=12572
1,Blakey mid-top sneakers,849 €,off-white/black canvas embroidered logo to the side contrasting branded heel counter logo patch at the tongue tonal toecap front lace-up fastening branded footbed flat rubber sole round toe ankle-length ,https://www.farfecth.com/pt/shopping/men/maison-mihara-yasuhiro-blakey-mid-top-sneakers-item-18983398.aspx?storeid=9499
2,Liberty hi-top leather sneakers,225 €,white calf leather padded ankle panelled design perforated toebox round toe front lace-up fastening logo patch at the tongue logo patch to the side calf-length flat rubber sole ,https://www.farfecth.com/pt/shopping/men/autry-liberty-hi-top-leather-sneakers-item-18967617.aspx?storeid=11942
3,Oversized low-top sneakers,617 €,white/multicolour calf leather iridescent trim round toe perforated detailing front lace-up fastening chunky rubber sole ,https://www.farfecth.com/pt/shopping/men/alexander-mcqueen-oversized-low-top-sneakers-item-19169834.aspx?storeid=9774
4,low-top sneakers,760 €,white recycled nylon calf leather tonal design panelled design branded insole flat rubber sole front lace-up fastening ,https://www.farfecth.com/pt/shopping/men/prada-low-top-sneakers-item-17919475.aspx?storeid=13537
5,Super-Star low-top sneakers,415 €,white leather  distressed finish signature star patch to the sides logo print to the side logo patch at the tongue branded insole round toe front lace-up fastening flat rubber sole ,https://www.farfecth.com/pt/shopping/men/golden-goose-super-star-low-top-sneakers-item-15399306.aspx?storeid=13537
6,x Nike Air Max 97 Nomad low-top sneakers ,319 €,grey panelled design signature Swoosh logo detail almond toe front lace-up fastening logo patch at the tongue double pull-tab at the opening branded insole chunky rubber sole ,https://www.farfecth.com/pt/shopping/men/comme-des-garcons-homme-plus-x-nike-air-max-97-nomad-low-top-sneakers-item-18958212.aspx?storeid=13976
7,x Nike Air Max 97 Nomad low-top sneakers ,314 €,dark grey/grey signature Swoosh logo detail almond toe front lace-up fastening logo patch at the tongue double pull-tab at the opening branded insole chunky rubber sole ,https://www.farfecth.com/pt/shopping/men/comme-des-garcons-homme-plus-x-nike-air-max-97-nomad-low-top-sneakers-item-18958210.aspx?storeid=9336
8,star-patch lace-up sneakers,490 €,white leather front lace-up fastening star patch detail flat rubber sole ,https://www.farfecth.com/pt/shopping/men/golden-goose-star-patch-lace-up-sneakers-item-18018031.aspx?storeid=13537
9,x sacai Cortez 4.0 low-top sneakers ,226 €,"white suede signature Swoosh logo detail round toe front lace-up fastening logo patch at the tongue branded insole rubber sole These styles are supplied by a premium sneaker marketplace. Stocking only the most sought-after footwear, they source and curate some of the most hard to find sneakers from around the world. ",https://www.farfecth.com/pt/shopping/men/nike-x-sacai-cortez-40-low-top-sneakers-item-19034772.aspx?storeid=13537
10,Pure low-top sneakers,435 €,white/dark blue  leather signature star patch to the side front lace-up fastening round toe logo patch at the tongue contrasting heel counter eyelet embellishment gold-tone logo lettering flat rubber sole ,https://www.farfecth.com/pt/shopping/men/golden-goose-pure-low-top-sneakers-item-15763891.aspx?storeid=9359
11,canvas 101 backless sneakers,969 €,"white almond toe front lace-up fastening slip-on style platform sole These styles are supplied by a premium sneaker marketplace. Stocking only the most sought-after footwear, they source and curate some of the most hard to find sneakers from around the world. ",https://www.farfecth.com/pt/shopping/men/fear-of-god-canvas-101-backless-sneakers-item-18944075.aspx?storeid=11218
